,Game,Giveaway,GiveawayLabel
0,2023-10-26 Philadelphia 76ers,,0
1,2023-10-29 Atlanta Hawks,Cap,1
2,2023-10-30 Miami Heat,,0
3,2023-11-03 New York Knicks,,0
4,2023-11-08 Detroit Pistons,Lunch Bag,1
5,2023-11-13 Chicago Bulls,,0
6,2023-11-18 Dallas Mavericks,,0
7,2023-11-24 Washington Wizards,,0
8,2023-11-26 Portland Trail Blazers,Travel Bag,1
9,2023-12-02 Atlanta Hawks,,0
10,2023-12-05 New York Knicks,Nesting Dolls,1
11,2023-12-11 Chicago Bulls,,0
12,2023-12-13 Indiana Pacers,,0
13,2023-12-16 Detroit Pistons,,0
14,2023-12-17 Houston Rockets,,0
15,2023-12-19 San Antonio Spurs,,0
16,2023-12-21 Orlando Magic,Puzzle,1
17,2024-01-01 Indiana Pacers,,0
18,2024-01-08 Utah Jazz,,0
19,2024-01-11 Boston Celtics,,0
20,2024-01-13 Golden State Warriors,,0
21,2024-01-14 Sacramento Kings,Timepiece,1
22,2024-01-24 Cleveland Cavaliers,Bucket Cap,1
23,2024-01-26 Cleveland Cavaliers,,0
24,2024-01-27 New Orleans Pelicans,,0
25,2024-02-08 Minnesota Timberwolves,,0
26,2024-02-09 Charlotte Hornets,Cap,1
27,2024-02-12 Denver Nuggets,Antlers,1
28,2024-02-13 Miami Heat,,0
29,2024-02-27 Charlotte Hornets,Belt Bag,1
30,2024-03-04 Los Angeles Clippers,,0
31,2024-03-14 Philadelphia 76ers,,0
32,2024-03-17 Phoenix Suns,,0
33,2024-03-21 Brooklyn Nets,,0
34,2024-03-24 Oklahoma City Thunder,,0
35,2024-03-26 Los Angeles Lakers,,0
36,2024-04-03 Memphis Grizzlies,,0
37,2024-04-05 Toronto Raptors,,0
38,2024-04-07 New York Knicks,,0
39,2024-04-09 Boston Celtics,Antlers,1
40,2024-04-10 Orlando Magic,,0
41,2024-10-25 Chicago Bulls,,0
42,2024-11-02 Cleveland Cavaliers,,0
43,2024-11-07 Utah Jazz,Beanie,1
44,2024-11-10 Boston Celtics,,0
45,2024-11-12 Toronto Raptors,,0
46,2024-11-13 Detroit Pistons,,0
47,2024-11-18 Houston Rockets,,0
48,2024-11-20 Chicago Bulls,,0
49,2024-11-22 Indiana Pacers,,0
50,2024-11-23 Charlotte Hornets,,0
51,2024-11-30 Washington Wizards,,0
52,2024-12-04 Atlanta Hawks,Trunk Organizer,1
53,2024-12-10 Orlando Magic,,0
54,2024-12-21 Washington Wizards,,0
55,2024-12-26 Brooklyn Nets,Cap,1
56,2025-01-02 Brooklyn Nets,Antlers,1
57,2025-01-04 Portland Trail Blazers,,0
58,2025-01-08 San Antonio Spurs,,0
59,2025-01-14 Sacramento Kings,,0
60,2025-01-15 Orlando Magic,Cap,1
61,2025-01-17 Toronto Raptors,,0
62,2025-01-19 Philadelphia 76ers,,0
63,2025-01-23 Miami Heat,,0
64,2025-02-02 Memphis Grizzlies,,0
65,2025-02-09 Philadelphia 76ers,,0
66,2025-02-10 Golden State Warriors,,0
67,2025-02-20 Los Angeles Clippers,,0
68,2025-02-23 Miami Heat,,0
69,2025-02-27 Denver Nuggets,,0
70,2025-03-05 Dallas Mavericks,,0
71,2025-03-08 Orlando Magic,Cap,1
72,2025-03-09 Cleveland Cavaliers,,0
73,2025-03-13 Los Angeles Lakers,,0
74,2025-03-15 Indiana Pacers,,0
75,2025-03-16 Oklahoma City Thunder,,0
76,2025-03-28 New York Knicks,,0
77,2025-03-30 Atlanta Hawks,Bucket Hat,1
78,2025-04-01 Phoenix Suns,,0
79,2025-04-08 Minnesota Timberwolves,,0
80,2025-04-10 New Orleans Pelicans,,0
81,2025-04-13 Detroit Pistons,Bobblehead,1
